node_id,feature_id,value,
728,19,20,5161.713
729,19,21,2127.664
730,19,22,3405.01
731,19,23,2324.401
732,19,24,3540.103
733,19,25,2038.301
734,19,26,3740.125
735,19,27,3949.085
736,19,28,1274.757
737,19,29,3490.233
738,19,30,3159.946
739,19,31,2809.041
740,19,32,2421.366
741,19,34,3115.241
742,19,35,4403.825
743,19,36,2683.85
744,19,37,3359.546
745,19,38,4874.769
746,19,39,5928.395
747,19,40,4995.015
748,19,41,4615.184
749,19,42,5827.567
750,19,43,4255.143
751,19,44,3928.685
752,19,45,3782.16
753,19,46,4005.027
754,19,47,2891.558
755,19,48,3713.349
756,19,49,5246.857
757,19,50,3938.603
758,19,51,3092.381
759,19,52,3858.337
760,19,53,3289.584
761,19,54,6220.463
762,19,55,3793.033
763,19,56,4364.745
764,19,57,3881.493
765,19,58,4600.199
766,19,59,3678.89
767,19,60,5683.822
768,19,61,4152.183
769,19,62,2624.78
770,19,63,4053.118
771,19,64,3358.142
772,19,65,2972.22
773,19,66,3511.401
774,19,67,4475.947
775,19,68,3270.402
776,19,69,3269.358
777,19,70,3412.959
778,19,71,3846.002
779,19,72,2497.783
780,19,73,2171.744
781,19,74,3245.387
782,19,75,2655.903
783,19,76,3778.291
784,19,77,3443.852
785,19,78,4598.356
786,19,79,3653.388
787,19,80,3731.674
788,19,81,3106.864
789,19,82,6309.168
790,19,83,1196.487
791,19,84,1736.517
792,19,85,537.747
793,19,86,526.659
794,19,87,622.518
795,19,88,265.699
796,19,89,309.881
797,19,90,376.537
798,20,0,20
799,20,1,1080.393
800,20,2,235.721
801,20,3,457.177
802,20,5,717.115
803,20,6,1045.901
804,20,7,363.832
805,20,9,328.264
806,20,10,1175.174
807,20,11,1093.869
808,20,14,869.571
809,20,16,896.756
810,20,18,1063.859
811,20,19,763.68
812,20,22,558.52
813,20,23,211.61
814,20,24,1021.641
815,20,27,645.246
816,20,28,1061.251
817,20,29,447.727
818,20,30,937.28
819,20,37,524.929
820,20,39,611.827
821,20,40,600.176
822,20,41,725.658
823,20,42,598.602
824,20,43,991.49
825,20,45,1120.64
826,20,46,662.901
827,20,47,957.884
828,20,48,48.225
829,20,49,1614.417
830,20,50,178.291
831,20,51,673.105
832,20,52,643.056
833,20,54,1112.303
834,20,55,730.159
835,20,56,1113.098
836,20,57,678.941
837,20,58,987.962
838,20,59,1233.774
839,20,60,692.175
840,20,62,461.576
841,20,63,218.318
842,20,65,921.103
843,20,66,135.401
844,20,67,683.617
845,20,68,680.642
846,20,69,700.077
847,20,70,730.045
848,20,71,616.064
849,20,72,1310.496
850,20,73,542.936
851,20,74,483.784
852,20,75,1155.987
853,20,76,148.459
854,20,78,543.68
855,20,79,754.066
856,20,80,1303.708
857,20,83,75.285
858,20,84,649.307
859,20,86,207.892
860,20,87,151.834
861,20,88,119.752
862,20,89,58.103
863,20,90,86.195
864,21,0,21
865,21,3,34.005
866,21,6,33.932
867,21,10,44.854
868,21,24,91.076
869,21,27,110.867
870,21,30,86.352
871,21,56,525.873
872,21,57,38.431
873,21,58,37.049
874,21,59,44.865
875,21,67,169.657
876,21,74,35.276
877,21,76,96.499
878,21,79,149.2
879,21,80,75.671
880,21,86,41.578
881,21,90,9.073
882,22,0,22
883,22,10,53.825
884,22,24,21.779
885,22,35,326.922
886,22,48,72.338
887,22,60,19.967
888,22,73,48.555
889,22,74,136.064
890,22,77,183.672
891,22,80,2.162
892,23,0,23
893,23,13,31.859
894,23,27,17.739
895,23,74,20.158
896,23,75,57.322
897,23,90,4.537
898,24,0,24
899,24,3,173.803
900,24,6,147.704
901,24,9,201.705
902,24,10,38.873
903,24,11,10.32
904,24,14,36.082
905,24,15,299.335
906,24,17,161.789
907,24,19,121.746
908,24,23,234.755
909,24,24,79.197
910,24,27,99.78
911,24,30,147.518
912,24,39,232.072
913,24,40,77.442
914,24,42,105.636
915,24,44,187.08
916,24,47,8.952
917,24,51,390.206
918,24,52,318.345
919,24,53,117.886
920,24,54,400.64
921,24,55,426.716
922,24,58,222.292
923,24,59,194.413
924,24,63,47.46
925,24,64,273.254
926,24,68,298.818
927,24,69,154.017
928,24,71,79.208
929,24,73,278.089
930,24,75,19.107
931,24,76,148.459
932,24,77,137.754
933,24,79,4.032
934,24,80,86.481
935,24,86,69.297
936,24,87,91.1
937,24,88,44.907
938,24,89,48.419
939,24,90,36.293
940,25,0,25
941,25,3,22.67
942,25,7,295.284
943,25,9,63.28
944,25,10,17.942
945,25,11,56.757
946,25,16,25.261
947,25,17,194.147
948,25,18,121.269
949,25,21,455.303
950,25,22,44.094
951,25,24,7.92
952,25,27,6.652
953,25,30,3.598
954,25,31,250.311
955,25,41,43.539
956,25,42,52.818
957,25,45,62.258
958,25,46,27.621
959,25,47,35.809
960,25,52,133.705
961,25,54,73.802
962,25,59,119.639
963,25,65,180.422
964,25,66,153.455
965,25,67,89.818
966,25,68,124.508
967,25,70,54.753
968,25,72,89.607
969,25,74,45.355
970,25,75,28.661
971,25,80,38.917
972,25,82,783.905
973,25,86,13.859
974,25,87,15.183
975,25,88,7.484
976,25,90,18.146
977,26,0,26
978,26,4,295.401
979,26,11,82.556
980,26,22,53.892
981,26,23,29.758
982,26,24,17.819
983,26,28,122.452
984,26,32,48.221
985,26,41,145.132
986,26,45,93.387
987,26,46,110.484
988,26,51,78.041
989,26,52,76.403
990,26,57,6.405
991,26,64,43.145
992,26,68,174.311
993,26,71,8.801
994,26,72,123.209
995,26,77,34.439
996,26,78,55.678
997,27,0,27
998,27,14,93.813
999,27,58,6.175
1000,27,90,13.61
1001,28,0,28
1002,28,46,55.242
1003,28,88,3.742
1004,29,0,29
1005,29,37,59.992
1006,30,0,30
1007,30,24,3.96
1008,30,30,5.397
1009,30,41,29.026
1010,30,52,120.971
1011,30,53,168.409
1012,30,56,35.058
1013,30,57,32.026
1014,30,71,52.806
1015,30,89,9.684
1016,31,0,31
1017,31,84,30.2
1018,32,0,32
1019,32,16,47.364
1020,32,53,202.091
1021,33,0,33
1022,33,2,302.018
1023,33,6,91.816
1024,33,8,141.688
1025,33,10,71.766
1026,33,11,41.278
1027,33,16,107.358
1028,33,17,48.537
1029,33,18,126.781
1030,33,22,210.67
1031,33,23,109.111
1032,33,24,43.558
1033,33,27,44.347
1034,33,29,137.371
1035,33,30,57.568
1036,33,31,190.051
1037,33,32,258.325
1038,33,33,1389.645
1039,33,40,135.524
1040,33,41,72.566
1041,33,46,110.484
1042,33,47,161.139
1043,33,50,178.291
1044,33,52,152.805
1045,33,54,695.848
1046,33,55,312.925
1047,33,57,57.646
1048,33,60,46.589
1049,33,64,273.254
1050,33,70,334.604
1051,33,71,44.005
1052,33,76,230.112
1053,33,78,26.201
1054,33,79,161.297
1055,33,80,157.829
1056,33,82,531.032
1057,33,88,14.969
1058,33,90,13.61
1059,34,0,34
1060,34,6,7.984
1061,34,30,1.799
1062,34,49,140.384
1063,34,66,18.053
1064,34,78,19.651
1065,35,0,35
1066,35,1,350.591
1067,35,2,515.64
1068,35,3,884.127
1069,35,4,151.692
1070,35,5,674.43
1071,35,6,550.894
1072,35,7,495.655
1073,35,8,45.706
1074,35,9,134.47
1075,35,10,630.946
1076,35,11,639.81
1077,35,12,1164.332
1078,35,13,605.32
1079,35,14,505.145
1080,35,16,410.487
1081,35,17,382.901
1082,35,18,165.367
1083,35,19,547.857
1084,35,21,205.762
1085,35,22,352.749
1086,35,23,1101.032
1087,35,24,358.366
1088,35,25,632.069
1089,35,26,702.414
1090,35,27,472.294
1091,35,28,1218.241
1092,35,29,356.146
1093,35,30,892.305
1094,35,31,857.545
1095,35,32,361.655
1096,35,33,1012.934
1097,35,35,471.152
1098,35,37,529.928
1099,35,39,337.56
1100,35,40,367.85
1101,35,41,188.671
1102,35,42,211.271
1103,35,43,165.248
1104,35,44,1571.474
1105,35,45,871.609
1106,35,46,662.901
1107,35,47,814.649
1108,35,48,795.718
1109,35,49,666.825
1110,35,50,437.623
1111,35,51,253.634
1112,35,52,343.812
1113,35,53,258.227
1114,35,54,379.554
1115,35,55,436.199
1116,35,56,245.407
1117,35,57,749.397
1118,35,58,1234.953
1119,35,59,568.284
1120,35,60,1564.049
1121,35,61,757.558
1122,35,63,474.604
1123,35,64,57.527
1124,35,65,645.722
1125,35,66,469.39
1126,35,67,573.839
1127,35,68,33.202
1128,35,69,707.077
1129,35,70,322.436
1130,35,71,519.254
1131,35,72,645.914
1132,35,73,838.682
1133,35,74,257.01
1134,35,75,1213.308
1135,35,76,1076.33
1136,35,77,160.713
1137,35,78,1893.055
1138,35,79,1032.304
1139,35,80,1660.444
1140,35,85,247.364
1141,35,86,55.438
1142,35,87,212.567
1143,35,88,56.134
1144,35,89,48.419
1145,35,90,122.488
1146,36,0,36
1147,36,3,64.231
1148,36,6,35.928
1149,36,10,41.864
1150,36,13,3.982
1151,36,14,288.654
1152,36,22,19.597
1153,36,23,195.078
1154,36,24,55.438
1155,36,30,61.166
1156,36,39,210.975
1157,36,45,93.387
1158,36,50,32.416
1159,36,58,80.272
1160,36,60,39.933
1161,36,62,96.449
1162,36,67,59.879
1163,36,69,154.017
1164,36,70,24.335
1165,36,71,114.412
1166,36,76,252.381
1167,36,80,43.241
1168,36,86,27.719
1169,36,87,106.284
1170,36,88,56.134
1171,36,89,38.735
1172,36,90,49.902
1173,37,0,37
1174,37,1,28.62
1175,37,2,441.978
1176,37,6,69.86
1177,37,8,182.824
1178,37,10,71.766
1179,37,11,180.592
1180,37,12,266.719
1181,37,14,220.099
1182,37,17,16.179
1183,37,18,143.318
1184,37,21,35.023
1185,37,23,191.771
1186,37,24,65.337
1187,37,27,35.477
1188,37,28,246.474
1189,37,30,32.382
1190,37,32,330.656
1191,37,35,124.999
1192,37,38,3698.101
1193,37,39,105.487
1194,37,41,14.513
1195,37,42,457.755
1196,37,43,41.312
1197,37,44,149.664
1198,37,45,155.644
1199,37,47,17.904
1200,37,51,107.307
1201,37,54,36.901
1202,37,55,18.965
1203,37,56,131.468
1204,37,57,115.292
1205,37,58,111.146
1206,37,61,191.787
1207,37,62,172.23
1208,37,63,322.731
1209,37,64,79.1
1210,37,67,159.677
1211,37,74,241.892
1212,37,76,207.843
1213,37,79,64.519
1214,37,80,67.023
1215,37,84,513.405
1216,37,86,55.438
1217,37,87,75.917
1218,37,88,22.453
1219,37,89,58.103
1220,37,90,45.366
1221,38,0,38
1222,38,1,5888.498
1223,38,2,5812.005
1224,38,3,25352.517
1225,38,4,694.591
1226,38,5,10995.766
1227,38,6,26832.148
1228,38,7,3733.232
1229,38,8,3665.615
1230,38,9,9796.516
1231,38,10,21577.754
1232,38,11,8838.667
1233,38,12,10786.745
1234,38,13,3878.825
1235,38,14,12477.088
1236,38,15,2904.355
1237,38,16,31039.132
1238,38,17,1237.687
1239,38,18,3792.41
1240,38,19,3782.429
1241,38,20,3315.756
1242,38,21,6054.649
1243,38,22,10393.854
1244,38,23,8945.472
1245,38,24,21170.333
1246,38,25,2234.292
1247,38,26,1838.135
1248,38,27,18522.563
1249,38,28,6210.517
1250,38,29,8356.716
1251,38,30,17117.496
1252,38,31,3138.153
1253,38,32,9747.462
1254,38,33,2963.459
1255,38,34,2094.864
1256,38,35,10413.411
1257,38,36,15901.608
1258,38,37,5069.316
1259,38,38,6303.58
1260,38,39,22911.876
1261,38,40,22980.94
1262,38,41,27792.694
1263,38,42,15053.082
1264,38,43,14293.977
1265,38,44,22262.548
1266,38,45,41370.294
1267,38,46,24748.305
1268,38,47,86451.307
1269,38,48,13611.593
1270,38,49,31832.101
1271,38,50,14862.959
1272,38,51,5258.024
1273,38,52,8073.219
1274,38,53,4036.197
1275,38,54,2092.817
1276,38,55,3508.556
1277,38,56,5937.982
1278,38,57,15385.059
1279,38,58,23254.163
1280,38,59,29700.305
1281,38,60,16399.225
1282,38,61,11459.257
1283,38,62,3010.575
1284,38,63,4897.913
1285,38,64,6040.341
1286,38,65,6476.21
1287,38,66,1561.626
1288,38,67,19560.439
1289,38,68,6167.28
1290,38,69,12597.879
1291,38,70,12289.086
1292,38,71,4792.1
1293,38,72,6698.091
1294,38,73,15052.131
1295,38,74,9048.28
1296,38,75,16116.936
1297,38,76,8825.909
1298,38,77,3771.018
1299,38,78,7329.858
1300,38,79,19484.735
1301,38,80,21806.295
1302,38,81,9157.76
1303,38,82,1137.926
1304,38,83,2301.558
1305,38,84,4258.243
1306,38,85,1204.554
1307,38,86,568.237
1308,38,87,880.636
1309,38,88,624.953
1310,38,89,803.753
1311,38,90,725.854
1312,39,0,39
